Date,S&P U.S. Treasury Bond Index
2018-02-20,412.75
2018-02-21,411.7
2018-02-22,412.15
2018-02-23,413.04
2018-02-26,413.28
2018-02-27,412.72
2018-02-28,413.33
2018-03-01,414.41
2018-03-02,413.41
2018-03-05,413.2
2018-03-06,413.23
2018-03-07,413.19
2018-03-08,413.71
2018-03-09,413.08
2018-03-12,413.75
2018-03-13,414.25
2018-03-14,414.9
2018-03-15,414.81
2018-03-16,414.37
2018-03-19,414.16
2018-03-20,413.57
2018-03-21,413.88
2018-03-22,414.94
2018-03-23,415.12
2018-03-26,414.56
2018-03-27,415.91
2018-03-28,415.94
2018-03-29,416.53
2018-04-02,416.84
2018-04-03,415.9
2018-04-04,415.71
2018-04-05,414.98
2018-04-06,416.29
2018-04-09,416.38
2018-04-10,415.97
2018-04-11,416.28
2018-04-12,415.29
2018-04-13,415.47
2018-04-16,415.4
2018-04-17,415.62
2018-04-18,414.56
2018-04-19,413.85
2018-04-20,413
2018-04-23,412.89
2018-04-24,412.58
2018-04-25,412.05
2018-04-26,412.74
2018-04-27,413.33
2018-04-30,413.61
2018-05-01,413.15
2018-05-02,413.22
2018-05-03,413.75
2018-05-04,413.83
2018-05-07,413.77
2018-05-08,413.5
2018-05-09,412.87
2018-05-10,413.48
2018-05-11,413.59
2018-05-14,413.14
2018-05-15,411.83
2018-05-16,411.37
2018-05-17,411.12
2018-05-18,412.12
2018-05-21,412.21
2018-05-22,412.13
2018-05-23,413.23
2018-05-24,413.97
2018-05-25,414.96
2018-05-29,418.02
2018-05-30,416.84
2018-05-31,416.62
2018-06-01,415.7
2018-06-04,414.79
2018-06-05,415.41
2018-06-06,414.39
2018-06-07,415.5
2018-06-08,415.14
2018-06-11,414.9
2018-06-12,414.79
2018-06-13,414.52
2018-06-14,415.3
2018-06-15,415.46
2018-06-18,415.58
2018-06-19,416.26
2018-06-20,415.37
2018-06-21,416.05
2018-06-22,416.08
2018-06-25,416.5
2018-06-26,416.64
2018-06-27,417.73
2018-06-28,417.56
2018-06-29,417.28
2018-07-02,417.09
2018-07-03,417.81
2018-07-05,417.81
2018-07-06,418.2
2018-07-09,417.58
2018-07-10,417.42
2018-07-11,417.91
2018-07-12,417.8
2018-07-13,418.25
2018-07-16,417.8
2018-07-17,417.57
2018-07-18,417.27
2018-07-19,418.04
2018-07-20,417.03
2018-07-23,415.75
2018-07-24,415.99
2018-07-25,415.75
2018-07-26,415.45
2018-07-27,415.76
2018-07-30,415.58
2018-07-31,415.98
2018-08-01,415.26
2018-08-02,415.55
2018-08-03,416.22
2018-08-06,416.38
2018-08-07,415.79
2018-08-08,415.94
2018-08-09,416.8
2018-08-10,417.88
2018-08-13,417.84
2018-08-14,417.49
2018-08-15,418.22
2018-08-16,418.09
2018-08-17,418.25
2018-08-20,419.17
2018-08-21,418.74
2018-08-22,419.27
2018-08-23,419.23
2018-08-24,419.36
2018-08-27,418.76
2018-08-28,418.13
2018-08-29,418.11
2018-08-30,418.56
2018-08-31,418.56
2018-09-04,417.97
2018-09-05,417.88
2018-09-06,418.34
2018-09-07,417.12
2018-09-10,417.4
2018-09-11,416.51
2018-09-12,416.74
2018-09-13,416.76
2018-09-14,416.2
2018-09-17,416.36
2018-09-18,415.25
2018-09-19,414.75
2018-09-20,415.02
2018-09-21,415.09
2018-09-24,414.86
2018-09-25,414.7
2018-09-26,415.51
2018-09-27,415.53
2018-09-28,415.53
2018-10-01,414.88
2018-10-02,415.58
2018-10-03,413.68
2018-10-04,412.97
2018-10-05,412.26
2018-10-09,412.9
2018-10-10,413.01
2018-10-11,414.07
2018-10-12,413.75
2018-10-15,413.87
2018-10-16,413.92
2018-10-17,413.23
2018-10-18,413.52
2018-10-19,413.17
2018-10-22,413.18
2018-10-23,413.76
2018-10-24,415.03
2018-10-25,414.4
2018-10-26,415.45
2018-10-29,415.35
2018-10-30,414.75
2018-10-31,414.11
2018-11-01,414.39
2018-11-02,412.92
2018-11-05,413.29
2018-11-06,413.04
2018-11-07,413
2018-11-08,412.71
2018-11-09,413.75
2018-11-13,414.73
2018-11-14,415.2
2018-11-15,415.28
2018-11-16,416.12
2018-11-19,416.65
2018-11-20,416.56
2018-11-21,416.46
2018-11-23,416.73
2018-11-26,416.42
2018-11-27,416.59
2018-11-28,416.43
2018-11-29,416.95
2018-11-30,417.37
2018-12-03,417.91
2018-12-04,419.37
2018-12-06,420.04
2018-12-07,420.69
2018-12-10,421.02
2018-12-11,420.6
2018-12-12,420.04
2018-12-13,420.08
2018-12-14,420.6
2018-12-17,421.48
2018-12-18,422.26
2018-12-19,423.32
2018-12-20,422.94
2018-12-21,423.15
2018-12-24,424.31
2018-12-26,422.77
2018-12-27,423.29
2018-12-28,424.59
2018-12-31,425.26
2019-01-02,425.96
2019-01-03,428.05
2019-01-04,425.97
2019-01-07,425.36
2019-01-08,424.76
2019-01-09,424.87
2019-01-10,424.46
2019-01-11,425.09
2019-01-14,424.97
2019-01-15,424.66
2019-01-16,424.63
2019-01-17,424.33
2019-01-18,423.55
2019-01-22,424.47
2019-01-23,424.43
2019-01-24,425.22
2019-01-25,424.6
2019-01-28,424.65
2019-01-29,425.38
2019-01-30,425.85
2019-01-31,427.02
2019-02-01,425.89
2019-02-04,425.38
2019-02-05,425.92
2019-02-06,426.11
2019-02-07,426.95
2019-02-08,427.44
2019-02-11,427
2019-02-12,426.66
2019-02-13,426.07
2019-02-14,427
2019-02-15,426.96
2019-02-19,427.52
2019-02-20,427.33
2019-02-21,426.38
2019-02-22,427.16
2019-02-25,426.93
2019-02-26,427.6
2019-02-27,426.56
2019-02-28,426
2019-03-01,424.94
2019-03-04,425.87
2019-03-05,426.03
2019-03-06,426.68
2019-03-07,427.63
2019-03-08,428.06
2019-03-11,427.79
2019-03-12,428.62
2019-03-13,428.48
2019-03-14,427.93
2019-03-15,428.69
2019-03-18,428.56
2019-03-19,428.32
2019-03-20,430.05
2019-03-21,430.03
2019-03-22,432.22
2019-03-25,432.87
2019-03-26,432.77
2019-03-27,433.76
2019-03-28,433.87
2019-03-29,433.57
2019-04-01,431.72
2019-04-02,432.14
2019-04-03,431.19
2019-04-04,431.47
2019-04-05,431.59
2019-04-08,431.27
2019-04-09,431.71
2019-04-10,432.19
2019-04-11,431.46
2019-04-12,430.34
2019-04-15,430.74
2019-04-16,429.97
2019-04-17,430
2019-04-18,430.81
2019-04-22,430.34
2019-04-23,430.78
2019-04-24,431.85
2019-04-25,431.6
2019-04-26,432.29
2019-04-29,431.75
2019-04-30,432.42
2019-05-01,432.43
2019-05-02,431.65
2019-05-03,432.02
2019-05-06,432.69
2019-05-07,433.64
2019-05-08,433.09
2019-05-09,433.76
2019-05-10,433.57
2019-05-13,435.1
2019-05-14,434.74
2019-05-15,435.66
2019-05-16,435.13
2019-05-17,435.34
2019-05-20,434.97
2019-05-21,434.56
2019-05-22,435.41
2019-05-23,437.09
2019-05-24,437.04
2019-05-28,438.22
2019-05-29,438.38
2019-05-30,439.49
2019-05-31,441.58
2019-06-03,443.03
2019-06-04,441.78
2019-06-05,441.61
2019-06-06,441.56
2019-06-07,442.76
2019-06-10,441.47
2019-06-11,441.43
2019-06-12,441.98
2019-06-13,442.65
2019-06-14,442.85
2019-06-17,442.9
2019-06-18,443.42
2019-06-19,444.33
2019-06-20,444.74
2019-06-21,443.52
2019-06-24,444.65
2019-06-25,445.09
2019-06-26,443.92
2019-06-27,444.77
2019-06-28,444.87
2019-07-01,444.5
2019-07-02,445.44
2019-07-03,446.07
2019-07-05,444.04
2019-07-08,443.95
2019-07-09,443.74
2019-07-10,443.95
2019-07-11,442.38
2019-07-12,442.65
2019-07-15,443.38
2019-07-16,442.79
2019-07-17,444.24
2019-07-18,444.8
2019-07-19,444.24
2019-07-22,444.45
2019-07-23,443.89
2019-07-24,444.31
2019-07-25,443.63
2019-07-26,443.76
2019-07-29,443.99
2019-07-30,444.22
2019-07-31,444.86
2019-08-01,448.08
2019-08-02,448.91
2019-08-05,451.69
2019-08-06,452.42
2019-08-07,452.52
2019-08-08,452.54
2019-08-09,452.09
2019-08-12,454.55
2019-08-13,453.47
2019-08-14,456.05
2019-08-15,458.03
2019-08-16,457.23
2019-08-19,455.48
2019-08-20,456.89
2019-08-21,455.85
2019-08-22,454.99
2019-08-23,457.29
2019-08-26,456.84
2019-08-27,458.52
2019-08-28,458.72
